X,Y
-2.51354698461,42.6205320174
-2.50135349202,42.6204794521
-2.48916003244,42.6204255891
-3.09952247682,43.0447803622
-3.07496722509,43.0447988396
-2.9276354289,43.0447990137
-2.90308020414,43.044780641
-3.08723237013,43.0357853377
-2.93992209255,43.035801289
-2.92764626364,43.0357940763
-3.1363159884,43.0267329156
-3.12404198557,43.0267467736
-3.0872198922,43.0267804017
-2.98902735879,43.0268120667
-2.97675328724,43.0268101012
-2.89083503863,43.026759595
-2.878561043,43.0267471231
-2.86628705564,43.0267333349
-2.98902922216,43.0178071046
-2.97675694331,43.017805138600004
-2.93994016237,43.017791373
-2.89085123986,43.0177546282
-2.87857903657,43.0177421565
-2.86630684155,43.0177283688
-2.97676059774,43.0088001617
-2.96449011242,43.0087968797
-2.9522196482,43.0087922933
-2.92767873812,43.0087791784
-2.9154082901,43.0087706478
-2.90313785284,43.0087608033
-2.89086743365,43.0087496471
-2.87859702189,43.0087371755
-2.86632661839,43.0087233885
-2.64504465582,43.080288485
-2.632760152,43.080249547
-2.98905346136,42.9007409983
-3.00130265317,42.8827312113
-2.62047568122,43.0802092841
-2.91562192646,42.855683277
-2.59590682472,43.0801247969
-2.58362243715,43.0800805753
-2.63281417279,43.0712447466
-2.62053150196,43.0712044916
-2.60824886126,43.0711629162
-2.6451490772,43.0622788581
-2.63286816873,43.0622399319
-2.5714641005,43.0620255125
-2.54690271673,43.0619305278
-2.59608500866,43.0531104299
-2.57152706639,43.0530207293
-2.59614434151,43.0441056055
-2.57159000309,43.0440159293
-2.60847905828,43.0351436184
-2.85401307737,43.0267182305
-2.81719122813,43.026665003
-2.79264339049,43.0266229314
-2.78036949241,43.0265999059
-2.7680956092,43.026575564
-2.74354789073,43.0265229316
-2.7067264149,43.0264340324
-2.6576313026,43.026296961
-2.60853653605,43.0261387538
-2.59626292515,43.0260959138
-2.85403465562,43.0177132654
-2.82949032917,43.0176790992
-2.81721818381,43.0176600416
-2.80494605085,43.0176396682
-2.79267393102,43.0176179743
-2.78040182496,43.0175949507
-2.75585765827,43.0175449559
-2.73131354906,43.0174896759
-2.71904151369,43.0174600428
-2.70676949732,43.0174290938
-2.69449750076,43.0173968291
-2.68222551807,43.01736324
-2.65768156224,43.0172920448
-2.63313769906,43.0172155863
-2.58405039193,43.0170469023
-2.57177863916,43.0170014432
-2.85405622397,43.008708286
-2.84178584607,43.0086918625
-2.82951548081,43.008674122
-2.81724512711,43.008655066
-2.74362329051,43.0085130236
-2.71908278594,43.0084550869
-2.70681255993,43.008424141
-2.69454235373,43.0083918796
-2.68227216259,43.0083582951
-2.65773179872,43.0082871143
-2.63319152744,43.0082106719
-2.62092145121,43.0081704831
-2.60865141209,43.0081289816
-3.22188051324,42.9275438969
-3.20962628089,42.9275669615
-3.24635335274,42.9184887365
-3.22184848642,42.9185387949
-3.23403333988,42.9005041893
-3.22178447714,42.9005285482
-3.27074080231,42.8914181077
-3.23399957409,42.8914990503
-3.22175249466,42.8915234033
-3.20950540048,42.8915464463
-3.19725829238,42.8915681792
-3.27066256679,42.8734077936
-3.25841906792,42.8734360665
-3.23393203445,42.8734886798
-3.20944498255,42.873536042
-3.19720143533,42.8735577591
-3.24614001791,42.8644578268
-3.23389828085,42.8644834667
-3.2338645428,42.8554782393
-3.20938460409,42.8555255643
-3.23383082028,42.8464729975
-3.2337971133,42.8374677415
-2.97676425051,42.9997951705
-2.92768955303,42.9997741838
-2.91542089534,42.9997656528
-2.87861499895,42.9997321803
-2.91543350414,42.9907606329
-2.90316664704,42.990750789
-2.87865094871,42.9817221306
-2.96451190129,42.9727767844
-2.9154587064,42.9727505479
-2.90319542631,42.9727407056
-2.89093216531,42.9727295516
-2.86640566639,42.9727033024
-3.01356351693,42.9637769718
-3.00130197311,42.9637776291
-2.9890404293,42.9637769729
-2.95225582481,42.9637671305
-2.93999431176,42.9637612284
-2.91547129888,42.963745484
-2.90320980607,42.9637356425
-2.86642540868,42.9636982431
-3.01356181355,42.9547718971
-3.00130205589,42.9547725529
-2.98904229824,42.9547718957
-2.96452278627,42.9547666425
-2.86644514191,42.9546931696
-2.9522702767,42.945756959
-2.94001233559,42.9457510564
-2.92775439861,42.9457438411
-2.8787227513799998,42.9457018582
-2.86646486609,42.9456880817
-2.90325290637,42.9367203524
-3.18511777512,42.9276091557
-2.98904788796,42.9277565293
-2.95228470799,42.9277466854
-2.87875860866,42.9276916075
-2.91553417355,42.91871989
-3.16056303598,42.9096357861
-2.98905160438,42.9097461895
-2.9400483226,42.9097304488
-2.87879443387,42.9096812954
-3.17278888758,42.9006128537
-3.00130251563,42.9007416589
-2.96455535612,42.9007357455
-2.94005730889,42.9007252596
-2.92780829333,42.9007180513
-3.13602257576,42.8916570931
-3.08703357963,42.8917043642
-3.0013025906,42.8917364538
-2.91557182867,42.8917043324
-3.14824843541,42.8826367181
-3.11151214958,42.8826781402
-3.03803916227,42.8827253314
-3.01354814453,42.8827305623
-2.98905716181,42.8827305506
-3.18495787502,42.8735781671
-3.08700875884,42.8736938547
-2.98905899666,42.8737252768
-2.97681528811,42.8737233077
-2.9645715812,42.8737200293
-2.95232789924,42.8737154454
-3.17268943745,42.8645919842
-3.08699634695,42.8646885661
-3.06251247395,42.864704295
-3.00130275892,42.8647206476
-2.92786202994,42.8556917816
-2.92787275973,42.8466864754
